Здравствуйте, данную лабораторную работу выполнил Ахметзянов Дамир Альбертович, группа 1309
Версия: 3.0
Начало: 10.10.2021
Конец: -
Формула: 9.10
n    i
__  2 * i!     i
\  ________ * x
/_   i^i
i=1
X: 1.1
eps:1e-30
n = 677
An = 1.05237e-30
Сумма = 33.7925236
              i |              Fi |               S |
_____________________________________________________
              1 |             2.2 |             2.2 | 
              2 |            2.42 |            4.62 | 
              3 |      2.15111111 |      6.77111111 | 
              4 |       2.2460625 |      9.01717361 | 
              5 |      1.93840924 |      10.9555829 | 
              6 |      1.98581272 |      12.9413956 | 
              7 |      1.69117058 |      14.6325662 | 
              8 |      1.71560514 |      16.3481713 | 
              9 |      1.45007317 |      17.7982445 | 
             10 |      1.46225328 |      19.2604977 | 
             11 |      1.22994515 |      20.4904429 | 
             12 |      1.23529623 |      21.7257391 | 
             13 |      1.03553111 |      22.7612702 | 
             14 |       1.0370338 |      23.7983041 | 
             15 |     0.867162932 |       24.665467 | 
             16 |     0.866532269 |      25.5319993 | 
             17 |     0.723203245 |      26.2552025 | 
             18 |     0.721450432 |      26.9766529 | 
             19 |     0.601206022 |       27.577859 | 
             20 |     0.598932223 |      28.1767912 | 
             21 |     0.498494099 |      28.6752853 | 
             22 |     0.496054338 |      29.1713396 | 
             23 |     0.412448082 |      29.5837877 | 
             24 |     0.410046965 |      29.9938347 | 
             25 |     0.340644641 |      30.3344793 | 
             26 |     0.338394114 |      30.6728734 | 
             27 |     0.280914024 |      30.9537874 | 
             28 |     0.278869018 |      31.2326565 | 
             29 |     0.231354014 |      31.4640105 | 
             30 |      0.22953478 |      31.6935452 | 
             31 |     0.190320928 |      31.8838662 | 
             32 |     0.188727141 |      32.0725933 | 
             33 |     0.156409258 |      32.2290026 | 
             34 |     0.155028947 |      32.3840315 | 
             35 |     0.128426548 |      32.5124581 | 
             36 |     0.127241712 |      32.6396998 | 
             37 |     0.105367203 |       32.745067 | 
             38 |     0.104357316 |      32.8494243 | 
             39 |    0.0863872674 |      32.9358116 | 
             40 |    0.0855314022 |       33.021343 | 
             41 |    0.0707811806 |      33.0921242 | 
             42 |    0.0700592513 |      33.1621834 | 
             43 |    0.0579609567 |      33.2201444 | 
             44 |    0.0573543912 |      33.2774987 | 
             45 |    0.0474378923 |      33.3249366 | 
             46 |    0.0469299454 |      33.3718666 | 
             47 |     0.038806713 |      33.4106733 | 
             48 |    0.0383825563 |      33.4490559 | 
             49 |    0.0317319741 |      33.4807878 | 
             50 |    0.0313786522 |      33.5121665 | 
             51 |    0.0259364889 |       33.538103 | 
             52 |    0.0256427986 |      33.5637458 | 
             53 |    0.0211915398 |      33.5849373 | 
             54 |    0.0209478725 |      33.6058852 | 
             55 |    0.0173086419 |      33.6231938 | 
             56 |    0.0171068103 |      33.6403006 | 
             57 |    0.0141326391 |      33.6544333 | 
             58 |    0.0139657049 |       33.668399 | 
             59 |    0.0115359377 |      33.6799349 | 
             60 |    0.0113980473 |       33.691333 | 
             61 |   0.00941370327 |      33.7007467 | 
             62 |   0.00929993712 |      33.7100466 | 
             63 |   0.00767986999 |      33.7177265 | 
             64 |   0.00758610671 |      33.7253126 | 
             65 |   0.00626383139 |      33.7315764 | 
             66 |   0.00618662796 |       33.737763 | 
             67 |   0.00510770148 |      33.7428707 | 
             68 |   0.00504418853 |      33.7479149 | 
             69 |    0.0041640514 |       33.752079 | 
             70 |   0.00411184269 |      33.7561908 | 
             71 |   0.00339404154 |      33.7595849 | 
             72 |    0.0033511563 |       33.762936 | 
             73 |     0.002765882 |      33.7657019 | 
             74 |   0.00273067877 |      33.7684326 | 
             75 |   0.00225356505 |      33.7706861 | 
             76 |   0.00222468552 |      33.7729108 | 
             77 |   0.00183582246 |      33.7747467 | 
             78 |   0.00181214414 |      33.7765588 | 
             79 |   0.00149526872 |      33.7780541 | 
             80 |   0.00147586509 |      33.7795299 | 
             81 |    0.0012176974 |      33.7807476 | 
             82 |    0.0012018045 |      33.7819494 | 
             83 |  0.000991503795 |      33.7829409 | 
             84 |  0.000978492344 |      33.7839194 | 
             85 |  0.000807211482 |      33.7847266 | 
             86 |  0.000796563574 |      33.7855232 | 
             87 |  0.000657084305 |      33.7861803 | 
             88 |   0.00064837405 |      33.7868287 | 
             89 |  0.000534808546 |      33.7873635 | 
             90 |  0.000527685981 |      33.7878912 | 
             91 |  0.000435232743 |      33.7883264 | 
             92 |  0.000429410491 |      33.7887558 | 
             93 |  0.000354154765 |        33.78911 | 
             94 |  0.000349396992 |      33.7894594 | 
             95 |   0.00028814767 |      33.7897475 | 
             96 |  0.000284260952 |      33.7900318 | 
             97 |  0.000234417308 |      33.7902662 | 
             98 |  0.000231243092 |      33.7904974 | 
             99 |  0.000190685954 |      33.7906881 | 
            100 |  0.000188094335 |      33.7908762 | 
            101 |  0.000155097217 |      33.7910313 | 
            102 |  0.000152981812 |      33.7911843 | 
            103 |  0.000126138391 |      33.7913104 | 
            104 |  0.000124412116 |      33.7914348 | 
            105 |  0.000102577037 |      33.7915374 | 
